"D.345.Cirrhosis","D.334.Cirrhosis","D.520.Cirrhosis","D.451.Cirrhosis","D.473.Cirrhosis","D.464.Cirrhosis","D.507.Cirrhosis","D.514.Cirrhosis","D.569.Cirrhosis","D.588.Cirrhosis","D.605.Cirrhosis","D.607.Cirrhosis","D.541.Cirrhosis","D.524.Cirrhosis","D.614.Cirrhosis","D.513.Cirrhosis","D.606.Cirrhosis","D.527.Cirrhosis","D.388.Cirrhosis","D.309.Cirrhosis","D.128.Cirrhosis.non.HCC","D.123.Cirrhosis.non.HCC","D.122.Cirrhosis.non.HCC","D.138.Cirrhosis.non.HCC","D.127.Cirrhosis.non.HCC","D.109.Cirrhosis.non.HCC","D.114.Cirrhosis.non.HCC","D.111.Cirrhosis.non.HCC","D.108.Cirrhosis.non.HCC","D.130.Cirrhosis.non.HCC","D.134.Cirrhosis.non.HCC","D.129.Cirrhosis.non.HCC","D.125.Cirrhosis.non.HCC","D.116.Cirrhosis.non.HCC","D.131.Cirrhosis.non.HCC","D.132.Cirrhosis.non.HCC"
"AATK_E63_R_01",0.884491820567011,0.922802756394535,0.884308970520012,0.913083134747187,0.882791269259762,0.886331417603534,0.9162694266234,0.891958793159417,0.921280310631034,0.909580265587117,0.916455482484817,0.936412161426783,0.909294274300932,0.90034049864244,0.857603647173481,0.909137962700149,0.912976004993665,0.883697124656951,0.889008601587167,0.889718518518518,0.871332383701819,0.909939639667104,0.900072993977599,0.912858431330738,0.861222139475932,0.906591109408085,0.8793838324906,0.91701069040944,0.878273456164841,0.884505921876845,0.900118841832325,0.904945830653723,0.923372964594372,0.938992169455242,0.875459193787159,0.88728732573827
"AATK_P519_R_01",0.750476858547179,0.735981628459772,0.717584453042797,0.788910319107122,0.784949822098142,0.776649063850216,0.78847485907381,0.746670695084375,0.770469158335753,0.827219144286561,0.807502932998309,0.776332854064128,0.71644531407052,0.62211664782622,0.620010101930131,0.751864623934575,0.80661089244359,0.630619851472393,0.71731267870595,0.602965150846775,0.759268073404199,0.779696747563501,0.790836790355481,0.828824695888951,0.698255070470952,0.746940936718548,0.644253316360713,0.78588929532749,0.596843589604778,0.71587663792138,0.777782166875697,0.679182375262492,0.828344366520286,0.798099476504996,0.676633134971586,0.77200942721605
"AATK_P709_R_01",0.850823158500172,0.898040589495139,0.849339141757666,0.86563614744352,0.868010938086077,0.893188503493075,0.879536716087501,0.880057523819642,0.216426376255595,0.469819465665841,0.894590589107077,0.861050050227501,0.892404205233124,0.886927505408676,0.851875660039488,0.941004471964224,0.879303629587348,0.906466784073996,0.870590940919638,0.904977927638146,0.916494972999914,0.899722085853837,0.887330372394944,0.840394925145149,0.87932488192149,0.910207258248336,0.851567460734636,0.897227745795708,0.906100825548962,0.833668621982883,0.886227187390125,0.908646973533736,0.816536859075016,0.895977388112434,0.910483190511848,0.895470677708298
"ABCA1_E120_R_01",0.953194223680206,0.913061821755106,0.945530883866043,0.931634688449848,0.960264367376438,0.95240441272106,0.952109173777426,0.959924036421112,0.95463998530988,0.945148468868994,0.950248314104647,0.945696146206263,0.943138468339043,0.93575114843201,0.932827655765698,0.920331702046932,0.948667902588473,0.957161185215355,0.94889151722711,0.955566633483086,0.959266802443992,0.9477306621505,0.946634015728313,0.942711340615876,0.94987532199897,0.961457760455274,0.935496260760535,0.941892106797661,0.93525474801931,0.942193479519878,0.937003596858254,0.954137567200924,0.939721652081179,0.951782334585209,0.95619403402271,0.935869606611067
"ABCA1_P45_F_01",0.0481888006642794,0.0357330613452706,0.0786669689412832,0.0417739079641495,0.0399545320543348,0.0322300681335221,0.0465896371925418,0.0514436061600397,0.066692209742968,0.0365791234040078,0.0767919574710792,0.0557332005782505,0.0606233084091843,0.0458008019141767,0.0516941376380629,0.0349149692961934,0.0359269024758304,0.0699721705971285,0.0592797763768981,0.0387776090425021,0.0523842894610399,0.0356424867148985,0.0568055240843878,0.0746808741732455,0.0815983240185341,0.0551967150828076,0.0520956188317225,0.071764508830653,0.0509401387871907,0.0547565708364714,0.0372335208884043,0.0408750900635357,0.0795722408009198,0.0445667340418596,0.0791129234217256,0.0491388711040167
"ABCB4_E429_F_01",0.0329104882339714,0.0384708286275713,0.0362349555715425,0.0422791533531153,0.0333145480917582,0.0377206994409231,0.0346594832982646,0.0399589346411834,0.0455392385831096,0.0413668461396535,0.0371476385374202,0.035774652404702,0.0523501669055675,0.036447276649427,0.0411215187966149,0.0426943711599412,0.0403634373569821,0.0347823925456663,0.0382975360634308,0.0389618568679995,0.039874718824949,0.0431557577563955,0.0386060229177804,0.0407063663871979,0.042246478702514,0.039891458713735,0.0402355492041591,0.0442020229916802,0.0440982502744035,0.0386277389915745,0.0456290663078234,0.0477161770399539,0.04852217931394,0.0411739374404614,0.0515359305130118,0.0630946136776276
"ABCB4_P51_F_01",0.166209853116874,0.183799677709646,0.19990933569279,0.0793592500100159,0.0777819903460265,0.163958196236769,0.145621103846739,0.111941055012832,0.150040087046157,0.0883850373971051,0.10461364002268,0.108889453836702,0.124428354919622,0.0756860430805547,0.0899434087335718,0.118325333867426,0.0892368693253649,0.163181214157059,0.0943210503060184,0.130596004863943,0.0831303004886102,0.0887412363103148,0.0998630637576751,0.102744619902591,0.126951848607461,0.0799449014333424,0.111778482323514,0.0872221745473269,0.0909747390794888,0.095471069184991,0.0835686866707397,0.0787286113021318,0.0926290853441228,0.114242354787851,0.0949577667349983,0.0925342758566706
"ABCB4_P892_F_01",0.160461901845858,0.123212326100039,0.130654358031416,0.170576719985576,0.133485337354951,0.139756852033786,0.204407509652693,0.127720299678915,0.180235217731344,0.141113288233527,0.143026134972131,0.126381618809921,0.182979355787734,0.169676381190774,0.146333094380529,0.188868553305393,0.170207499463695,0.123712975045711,0.157350211121342,0.128278205265635,0.143905933184733,0.234003151864094,0.16837017123333,0.167227052955909,0.153646681792063,0.159968122190625,0.154373528957725,0.153107745881922,0.142243045711445,0.131199318742215,0.160611311598495,0.139103215450336,0.136769620683609,0.115377376532623,0.164862865679435,0.180039029204612
"ABCC2_E16_R_01",0.824708123795388,0.802760387792907,0.835240895329098,0.860168539205593,0.847563210721626,0.83330239238159,0.796996393868968,0.816780638907067,0.858521140062232,0.816340634759855,0.854946407650169,0.874876253115008,0.776801003492445,0.880663009005255,0.782906593088544,0.87339322584291,0.871482466765918,0.868746401917192,0.842658755283803,0.830965408236836,0.797173291626351,0.8428431501311,0.823771088225183,0.834018268669846,0.860156934125142,0.844961250846066,0.834612576174116,0.863975410179315,0.862151273250856,0.80113443201964,0.816185822613623,0.873140026341079,0.817817040788528,0.855687108599507,0.860300107639176,0.866865701702164
"ABCC2_P88_F_01",0.964455253794532,0.954520266122476,0.94755245652905,0.956830550936224,0.961906252895451,0.962133056116171,0.969609763583351,0.967408438989952,0.966084083076248,0.953557021392308,0.967313008062072,0.97276102037945,0.964545968423959,0.970240133591384,0.95625938340456,0.922107556848204,0.975811723687078,0.977831928402402,0.961381294509125,0.962237843625614,0.96807761857874,0.965530936829779,0.965388314295838,0.960990430597433,0.95745316767673,0.977502226501679,0.959982471928617,0.968728355467221,0.958295336653659,0.964628879690372,0.955460643579084,0.970883129891683,0.965616680115993,0.969610915511733,0.973450987841216,0.955064137019336
